Education,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,NumWebVisitsMonth,Complain,Response,Age,Relationship_Status,Children,Total_Household,Parent,Frequency,Monetary,Avg_Purchase_Value,Loyalty,Income_per_Household_Member,High_Spender,Promo_Responsive,Preferred_Category,Engagement_Score
Post-Grad,3494,141,15,153,67,31,35,3,0,0,47,Attached,0,2,0,15,442.0,29.466666666666665,0,25176.5,1,0,Meat,0
Graduate,4159,1000,155,379,224,17,120,8,0,0,60,Single,0,1,0,17,1895.0,111.47058823529412,1,61839.0,1,0,Wines,0
Post-Grad,3711,206,10,67,30,27,71,6,0,0,64,Attached,2,4,1,19,411.0,21.63157894736842,1,12288.5,1,0,Wines,0
Pre-Grad,3972,162,61,83,97,57,61,5,0,0,49,Single,1,2,1,19,521.0,27.42105263157895,1,23841.0,1,0,Wines,0
Graduate,3757,619,54,260,127,54,54,1,0,0,55,Single,1,2,1,17,1168.0,68.70588235294117,1,36339.5,1,0,Wines,0
Post-Grad,3484,456,4,24,0,0,9,7,0,0,47,Attached,2,4,1,23,493.0,21.434782608695652,1,14488.5,1,1,Wines,1
Graduate,3904,112,6,92,3,9,38,4,0,0,62,Attached,2,4,1,12,260.0,21.666666666666668,0,16329.0,0,0,Wines,0
Graduate,3850,11,3,22,2,2,6,6,0,0,42,Single,1,2,1,7,46.0,6.571428571428571,0,14283.5,0,0,Meat,0
Post-Grad,3917,172,12,112,8,0,15,7,0,0,73,Attached,1,3,1,16,319.0,19.9375,1,15784.0,0,0,Wines,0
Graduate,3635,78,0,11,0,0,7,5,0,0,57,Attached,1,3,1,7,96.0,13.714285714285714,0,14977.0,0,0,Wines,0
Graduate,3607,464,151,292,65,60,30,4,0,1,57,Single,0,1,0,16,1062.0,66.375,1,76982.0,1,1,Wines,2
Pre-Grad,3798,99,4,32,37,54,6,2,0,0,72,Attached,1,3,1,12,232.0,19.333333333333332,0,19082.333333333332,0,0,Wines,0
Post-Grad,3661,19,3,19,4,5,26,7,0,0,43,Single,1,2,1,9,76.0,8.444444444444445,0,11472.0,0,0,Gold,0
Pre-Grad,3707,1,9,8,11,3,22,8,0,0,47,Attached,1,3,1,9,54.0,6.0,0,8438.333333333334,0,0,Gold,0
Graduate,4165,63,10,83,7,19,19,7,0,0,55,Single,1,2,1,11,201.0,18.272727272727273,0,21819.0,0,0,Meat,0
Post-Grad,4051,252,3,42,4,3,102,6,0,0,40,Single,1,2,1,14,406.0,29.0,0,21355.0,1,0,Wines,0
Post-Grad,3799,1478,19,403,0,19,0,3,0,1,42,Attached,0,2,0,20,1919.0,95.95,1,42084.5,1,1,Wines,3
Graduate,3863,198,18,252,32,108,54,3,0,0,48,Attached,1,3,1,20,662.0,33.1,1,18019.333333333332,1,0,Meat,0
Pre-Grad,3586,8,4,10,6,7,6,5,0,0,34,Attached,1,3,1,8,41.0,5.125,0,8227.666666666666,0,0,Meat,0
Graduate,3646,416,46,925,60,107,46,1,0,1,60,Single,0,1,0,14,1600.0,114.28571428571429,0,85620.0,1,0,Meat,1
Graduate,3681,42,7,43,20,12,10,6,0,0,44,Attached,1,3,1,8,134.0,16.75,0,15950.0,0,0,Meat,0
Graduate,3627,14,3,21,2,1,28,8,0,1,56,Attached,2,4,1,10,69.0,6.9,0,4878.5,0,1,Gold,2
Post-Grad,3565,17,0,3,0,0,1,6,0,0,51,Attached,2,4,1,6,21.0,3.5,0,6789.75,0,0,Wines,0
Pre-Grad,3563,15,4,10,3,4,18,3,0,0,61,Single,2,3,1,7,54.0,7.714285714285714,0,13182.666666666666,0,0,Gold,0
Graduate,3555,6,16,24,11,0,34,7,0,1,35,Single,1,2,1,8,91.0,11.375,0,10737.0,0,1,Gold,2
Post-Grad,3615,458,0,24,6,4,34,6,0,0,53,Single,1,2,1,18,526.0,29.22222222222222,1,30252.0,1,0,Wines,0
Graduate,3910,30,3,47,19,21,42,8,0,0,61,Attached,0,2,0,8,162.0,20.25,0,11209.5,0,0,Meat,0
Post-Grad,3708,179,28,520,111,123,47,1,0,1,75,Attached,0,2,0,25,1008.0,40.32,1,40849.0,1,0,Meat,1
Graduate,4128,90,17,97,15,6,15,8,0,0,72,Attached,2,4,1,16,240.0,15.0,1,10865.5,0,0,Meat,0
Post-Grad,3958,308,85,137,102,45,118,5,0,0,46,Single,1,2,1,21,795.0,37.857142857142854,1,27440.0,1,0,Wines,0
Graduate,3923,557,129,761,29,185,111,2,0,0,42,Attached,0,2,0,19,1772.0,93.26315789473684,1,39954.0,1,1,Meat,1
Pre-Grad,3803,7,4,13,15,8,17,5,0,0,54,Attached,0,2,0,8,64.0,8.0,0,7657.5,0,0,Gold,0
Graduate,3876,1492,38,287,50,57,33,6,0,1,65,Attached,1,3,1,20,1957.0,97.85,1,29257.0,1,1,Wines,3
Graduate,3766,30,8,12,8,8,12,5,0,0,46,Attached,1,3,1,7,78.0,11.142857142857142,0,11013.0,0,0,Wines,0
Graduate,3851,249,153,940,58,134,38,2,0,0,44,Single,0,1,0,19,1572.0,82.73684210526316,1,81741.0,1,0,Meat,0
Post-Grad,3842,465,25,132,136,0,37,4,0,0,53,Attached,1,3,1,26,795.0,30.576923076923077,1,23833.0,1,0,Wines,0
Pre-Grad,3638,129,129,259,168,121,83,4,0,0,54,Attached,1,3,1,26,889.0,34.19230769230769,1,20822.0,1,0,Meat,0
Post-Grad,3709,174,18,81,28,6,24,3,0,0,61,Single,1,2,1,15,331.0,22.066666666666666,0,24399.5,0,0,Wines,0
Post-Grad,3495,189,2,29,3,2,40,4,0,0,74,Attached,1,3,1,12,265.0,22.083333333333332,0,17385.666666666668,0,0,Wines,0
Graduate,4044,747,10,161,65,40,42,8,0,0,62,Single,1,2,1,19,1065.0,56.05263157894737,1,33282.5,1,0,Wines,0
Post-Grad,3768,6,0,2,2,0,1,5,0,0,73,Attached,2,4,1,4,11.0,2.75,0,7324.5,0,0,Wines,0
Graduate,3832,14,0,3,0,0,4,6,0,0,45,Single,1,2,1,4,21.0,5.25,0,23845.5,0,0,Wines,0
Graduate,4042,12,0,4,0,0,1,7,0,0,54,Attached,2,4,1,4,17.0,4.25,0,9550.0,0,0,Wines,0
Graduate,4128,98,0,106,49,10,106,6,0,0,50,Attached,1,3,1,16,369.0,23.0625,1,14996.333333333334,0,0,Meat,0
Post-Grad,3626,32,0,5,0,0,1,7,0,0,56,Attached,2,4,1,6,38.0,6.333333333333333,0,9610.75,0,0,Wines,0
Pre-Grad,3762,51,12,49,17,24,24,8,0,0,46,Single,1,2,1,11,177.0,16.09090909090909,0,19296.5,0,0,Wines,0
Post-Grad,3805,200,5,44,0,10,20,5,0,0,54,Attached,1,3,1,12,279.0,23.25,0,21471.0,0,0,Wines,0
Post-Grad,3743,25,6,25,6,0,0,8,0,0,43,Attached,1,3,1,7,62.0,8.857142857142858,0,12319.666666666666,0,0,Wines,0
Post-Grad,3987,1050,12,144,0,0,24,5,0,1,47,Attached,1,3,1,21,1230.0,58.57142857142857,1,20665.333333333332,1,1,Wines,2
Graduate,3562,117,0,22,13,0,30,7,0,0,56,Attached,2,4,1,11,182.0,16.545454545454547,0,12821.75,0,0,Wines,0
Graduate,3783,9,4,17,10,2,7,8,0,0,54,Attached,2,4,1,10,49.0,4.9,0,3315.0,0,0,Meat,0
Post-Grad,3759,56,0,11,0,0,8,5,0,0,58,Attached,2,4,1,8,75.0,9.375,0,11868.0,0,0,Wines,0
Post-Grad,3828,145,13,46,17,2,4,7,0,0,68,Attached,2,4,1,16,227.0,14.1875,1,13650.75,0,0,Wines,0
Post-Grad,4069,203,0,10,0,0,2,6,0,0,50,Attached,2,4,1,15,215.0,14.333333333333334,0,11301.75,0,1,Wines,1
Graduate,3941,270,3,27,39,6,99,8,0,0,73,Attached,1,3,1,20,444.0,22.2,1,13563.0,1,0,Wines,0
Pre-Grad,3725,9,0,16,6,6,10,8,0,0,57,Attached,2,4,1,5,47.0,9.4,0,11955.25,0,0,Meat,0
Post-Grad,3913,37,12,23,8,11,52,7,0,0,73,Attached,0,2,0,7,143.0,20.428571428571427,0,13725.0,0,0,Gold,0
Graduate,3560,46,0,7,0,0,2,6,0,0,41,Attached,1,3,1,7,55.0,7.857142857142857,0,13151.0,0,0,Wines,0
Pre-Grad,3545,31,1,13,7,2,9,4,0,0,53,Attached,2,4,1,11,63.0,5.7272727272727275,0,6712.5,0,0,Wines,0
Graduate,4117,1060,21,530,32,0,224,3,0,1,69,Single,0,1,0,22,1867.0,84.86363636363636,1,79800.0,1,1,Wines,3
Post-Grad,3761,264,47,188,54,47,11,2,0,0,63,Attached,1,3,1,20,611.0,30.55,1,20598.0,1,0,Wines,0
Graduate,3516,399,4,30,6,4,30,7,0,0,69,Attached,1,3,1,18,473.0,26.27777777777778,1,17954.333333333332,1,1,Wines,1
Graduate,3786,8,9,9,2,5,22,4,0,0,65,Attached,0,2,0,6,55.0,9.166666666666666,0,12110.5,0,0,Gold,0
Post-Grad,4098,19,0,35,6,4,17,7,1,1,40,Single,1,2,1,7,81.0,11.571428571428571,0,19842.0,0,0,Meat,2
Post-Grad,4037,817,183,797,106,163,20,2,0,1,49,Attached,0,2,0,21,2086.0,99.33333333333333,1,46081.5,1,1,Wines,2
Post-Grad,3704,292,127,635,132,127,165,1,0,0,59,Single,0,1,0,20,1478.0,73.9,1,69882.0,1,0,Meat,0
Graduate,3623,12,6,2,11,2,16,4,0,0,47,Attached,1,3,1,5,49.0,9.8,0,11059.333333333334,0,0,Gold,0
Post-Grad,3764,130,30,168,20,34,0,1,0,0,52,Attached,0,2,0,15,382.0,25.466666666666665,0,29986.5,0,0,Meat,0
Post-Grad,3756,6,4,16,3,10,30,7,0,1,49,Attached,1,3,1,9,69.0,7.666666666666667,0,5819.666666666667,0,0,Gold,1
Graduate,4084,16,12,18,7,1,13,7,0,0,55,Single,1,2,1,6,67.0,11.166666666666666,0,11955.0,0,0,Meat,0
Post-Grad,3726,19,0,9,0,0,2,8,0,0,55,Attached,2,4,1,6,30.0,5.0,0,10542.25,0,0,Wines,0
Pre-Grad,3863,4,7,15,13,9,15,6,0,0,46,Attached,1,3,1,9,63.0,7.0,0,8741.333333333334,0,0,Meat,0
Graduate,4154,31,3,31,2,8,4,8,0,0,43,Attached,1,3,1,10,79.0,7.9,0,10363.0,0,0,Wines,0
Graduate,3966,36,0,2,0,0,4,7,0,0,63,Single,1,2,1,5,42.0,8.4,0,15040.5,0,0,Wines,0
Graduate,4140,526,28,135,10,21,99,5,0,0,64,Attached,1,3,1,23,819.0,35.608695652173914,1,20935.666666666668,1,0,Wines,0
Graduate,3758,400,32,519,71,75,54,1,0,0,69,Single,0,1,0,17,1151.0,67.70588235294117,1,72906.0,1,0,Meat,0
Post-Grad,4040,410,16,114,0,5,49,5,0,0,76,Attached,2,4,1,20,594.0,29.7,1,15366.75,1,0,Wines,0
Post-Grad,3992,80,3,26,4,2,14,7,0,0,58,Attached,2,4,1,11,129.0,11.727272727272727,0,12404.5,0,0,Wines,0
Post-Grad,4020,88,10,46,2,3,64,10,0,1,38,Single,1,2,1,12,213.0,17.75,0,10944.0,0,0,Wines,1
Graduate,3611,55,0,6,2,0,4,5,0,0,51,Single,1,2,1,7,67.0,9.571428571428571,0,21214.5,0,0,Wines,0
Graduate,3948,5,1,13,3,5,1,7,0,0,68,Single,3,4,1,5,28.0,5.6,0,6537.5,0,0,Meat,0
Pre-Grad,4084,8,4,5,15,2,11,7,0,0,49,Attached,1,3,1,6,45.0,7.5,0,10267.0,0,0,Fish,0
Graduate,3526,410,0,592,147,22,22,3,0,0,59,Attached,0,2,0,18,1193.0,66.27777777777777,1,40584.0,1,1,Meat,0
Post-Grad,3787,101,13,76,20,18,40,6,0,0,55,Single,0,1,0,12,268.0,22.333333333333332,0,26877.0,0,0,Wines,0
Post-Grad,3819,162,25,53,16,0,10,3,0,0,80,Single,0,1,0,12,266.0,22.166666666666668,0,45006.0,0,0,Wines,0
Pre-Grad,4038,2,8,1,4,7,15,8,0,0,51,Attached,1,3,1,5,37.0,7.4,0,6326.0,0,0,Gold,0
Graduate,3717,25,0,8,2,0,2,7,0,0,57,Attached,3,5,1,7,37.0,5.285714285714286,0,4514.8,0,0,Wines,0
Post-Grad,4070,389,91,248,64,49,41,5,0,1,55,Single,0,1,0,25,882.0,35.28,1,48240.0,1,0,Wines,1
Graduate,3811,215,13,87,17,17,24,7,0,0,50,Attached,2,4,1,18,373.0,20.72222222222222,1,11459.25,0,0,Wines,0
Post-Grad,3892,27,0,5,0,0,3,8,0,0,59,Single,3,4,1,6,35.0,5.833333333333333,0,8947.75,0,0,Wines,0
Post-Grad,3864,85,1,16,2,1,2,1,0,0,48,Attached,2,4,1,1,107.0,107.0,0,40599.25,0,0,Wines,0
Graduate,3941,5,6,10,6,5,10,4,0,0,46,Single,2,3,1,5,42.0,8.4,0,18054.0,0,0,Meat,0
Post-Grad,4154,179,8,83,19,11,26,2,0,0,64,Attached,1,3,1,17,326.0,19.176470588235293,1,10174.0,0,0,Wines,0
Post-Grad,3826,352,0,27,10,0,15,6,0,0,63,Attached,1,3,1,17,404.0,23.764705882352942,1,18152.0,1,0,Wines,0
Graduate,3823,17,8,12,11,15,32,7,0,0,53,Single,0,1,0,6,95.0,15.833333333333334,0,31632.0,0,0,Gold,0
Graduate,3584,625,35,169,58,17,35,1,0,0,75,Single,0,1,0,14,939.0,67.07142857142857,0,72298.0,1,1,Wines,2
Pre-Grad,3656,10,6,11,0,4,2,7,0,0,46,Single,1,2,1,5,33.0,6.6,0,18487.5,0,0,Meat,0
Pre-Grad,3864,390,22,323,104,35,107,3,0,0,69,Attached,0,2,0,21,981.0,46.714285714285715,1,36317.5,1,1,Wines,0
Graduate,3998,10,2,15,2,1,6,6,0,0,48,Attached,1,3,1,7,36.0,5.142857142857143,0,4541.333333333333,0,0,Meat,0
Graduate,3864,215,63,507,231,31,190,3,0,0,49,Single,1,2,1,20,1237.0,61.85,1,42098.0,1,0,Meat,0
Graduate,4119,1001,17,572,93,125,17,7,0,1,64,Attached,1,3,1,34,1825.0,53.6764705882353,1,23657.0,1,0,Wines,1
Post-Grad,4134,19,18,33,24,1,8,9,0,0,47,Single,2,3,1,9,103.0,11.444444444444445,0,11495.666666666666,0,0,Meat,0
Graduate,4031,41,5,129,10,3,3,9,0,0,47,Single,1,2,1,12,191.0,15.916666666666666,0,14384.5,0,0,Meat,0
Post-Grad,3695,1181,107,199,39,30,30,8,0,0,54,Attached,1,3,1,25,1586.0,63.44,1,23028.0,1,0,Wines,0
Post-Grad,3489,603,45,207,36,18,54,1,0,0,66,Attached,0,2,0,14,963.0,68.78571428571429,0,32744.0,1,0,Wines,0
Pre-Grad,3638,129,129,259,168,121,83,4,0,0,54,Attached,1,3,1,26,889.0,34.19230769230769,1,20822.0,1,0,Meat,0
Pre-Grad,3607,10,24,15,13,1,30,7,0,1,64,Single,0,1,0,7,93.0,13.285714285714286,0,32218.0,0,1,Gold,2
Graduate,3910,514,22,732,42,198,79,3,0,1,51,Single,0,1,0,21,1587.0,75.57142857142857,1,83917.0,1,0,Meat,1
Graduate,3584,14,0,1,0,0,1,7,0,0,62,Single,3,4,1,4,16.0,4.0,0,11525.5,0,0,Wines,0
Graduate,3863,387,20,713,38,54,163,5,0,0,72,Single,0,1,0,32,1375.0,42.96875,1,84574.0,1,0,Meat,0
Graduate,4010,121,103,69,8,44,48,4,0,0,62,Attached,1,3,1,14,393.0,28.071428571428573,0,18727.0,0,0,Wines,0
Post-Grad,4112,965,69,279,54,41,69,7,0,1,74,Single,1,2,1,26,1477.0,56.80769230769231,1,31560.0,1,0,Wines,1
Graduate,3708,707,21,250,85,43,73,2,0,0,53,Attached,1,3,1,18,1179.0,65.5,1,24563.666666666668,1,1,Wines,1
Graduate,4105,571,50,142,33,50,159,2,0,0,64,Attached,1,3,1,26,1005.0,38.65384615384615,1,21127.0,1,0,Wines,0
Post-Grad,3520,586,66,653,17,0,26,2,0,0,76,Attached,0,2,0,21,1348.0,64.19047619047619,1,38070.0,1,0,Meat,0
Post-Grad,4019,1063,89,102,16,12,25,6,0,0,65,Single,1,2,1,23,1307.0,56.82608695652174,1,31429.5,1,0,Wines,0
Graduate,3891,305,3,27,4,3,144,5,0,0,60,Single,1,2,1,15,486.0,32.4,0,22953.0,1,1,Wines,1
Post-Grad,3949,1200,105,758,0,42,147,2,0,1,77,Attached,0,2,0,13,2126.0,173.23076923076923,0,38816.0,1,1,Wines,3
Post-Grad,3788,163,2,40,8,11,11,6,0,0,53,Attached,2,4,1,17,235.0,13.823529411764707,1,11615.75,0,0,Wines,0
Graduate,3997,1009,181,104,202,21,207,3,0,1,54,Attached,0,2,0,30,1724.0,57.46666666666667,1,52735.5,1,1,Wines,2
Post-Grad,3671,125,6,73,8,4,19,4,0,0,54,Single,1,2,1,11,235.0,21.363636363636363,0,27641.0,0,0,Wines,0
Post-Grad,3510,721,0,152,119,50,50,4,0,0,47,Attached,1,3,1,28,1092.0,39.0,1,26236.666666666668,1,0,Wines,0
Graduate,3759,315,4,62,41,31,146,5,0,0,66,Attached,1,3,1,17,599.0,35.23529411764706,1,22295.333333333332,1,0,Wines,0
Post-Grad,3605,1000,19,711,125,115,38,1,0,0,64,Single,0,1,0,19,2008.0,105.6842105263158,1,98777.0,1,1,Wines,1
Graduate,4144,16,0,17,6,3,6,9,0,0,39,Attached,1,3,1,6,48.0,8.0,0,9701.0,0,0,Meat,0
Graduate,4159,757,80,217,29,80,11,6,0,0,50,Attached,1,3,1,32,1174.0,36.6875,1,22481.666666666668,1,0,Wines,0
Post-Grad,3550,30,2,25,0,1,9,2,0,0,74,Attached,1,3,1,7,67.0,9.571428571428571,0,16872.0,0,0,Wines,0
Graduate,4168,219,3,100,26,0,17,8,0,0,69,Single,1,2,1,15,365.0,24.333333333333332,0,24715.5,0,0,Wines,0
Graduate,3649,111,3,28,2,6,15,6,0,0,71,Attached,1,3,1,10,165.0,16.5,0,20426.0,0,0,Wines,0
Pre-Grad,4118,45,47,52,21,20,25,6,0,0,66,Attached,0,2,0,11,210.0,19.09090909090909,0,13245.0,0,0,Meat,0
Post-Grad,3775,410,112,420,0,82,71,4,0,0,77,Attached,1,3,1,26,1095.0,42.11538461538461,1,24353.0,1,0,Meat,0
Post-Grad,3724,100,1,39,6,1,76,6,0,0,58,Single,3,4,1,12,223.0,18.583333333333332,0,11683.5,0,1,Wines,1
Graduate,4042,509,0,65,7,11,5,6,0,0,61,Attached,1,3,1,22,597.0,27.136363636363637,1,18751.0,1,0,Wines,0
Graduate,3700,3,6,5,0,2,6,7,0,0,39,Attached,1,3,1,4,22.0,5.5,0,6662.0,0,0,Fruits,0
Graduate,3659,445,53,213,104,98,151,4,0,0,49,Single,1,2,1,24,1064.0,44.333333333333336,1,29165.0,1,0,Wines,0
Pre-Grad,4133,2,2,11,41,7,11,8,0,0,44,Attached,0,2,0,6,74.0,12.333333333333334,0,12982.5,0,0,Fish,0
Post-Grad,4017,4,1,11,6,2,2,6,0,0,68,Attached,0,2,0,5,26.0,5.2,0,7330.5,0,0,Meat,0
Graduate,4021,6,1,7,23,4,19,8,0,0,65,Attached,0,2,0,5,60.0,12.0,0,9345.0,0,0,Fish,0
Post-Grad,3882,14,0,3,0,0,3,7,0,0,50,Attached,1,3,1,4,20.0,5.0,0,15022.666666666666,0,0,Wines,0
Pre-Grad,3750,1,10,11,19,3,15,6,0,0,37,Single,1,2,1,7,59.0,8.428571428571429,0,10531.5,0,0,Fish,0
Post-Grad,3889,26,0,6,0,0,2,8,0,0,56,Attached,1,3,1,5,34.0,6.8,0,9729.0,0,0,Wines,0
Pre-Grad,3707,111,16,37,7,9,18,3,0,0,53,Attached,2,4,1,12,198.0,16.5,0,13672.5,0,0,Wines,0
Post-Grad,3808,418,61,428,80,51,10,5,0,0,60,Attached,1,3,1,28,1048.0,37.42857142857143,1,19768.0,1,0,Meat,0
Post-Grad,3706,327,9,122,19,14,83,6,0,0,62,Single,2,3,1,21,574.0,27.333333333333332,1,19749.0,1,0,Wines,0
Graduate,4128,371,159,194,58,106,141,3,0,0,54,Single,1,2,1,17,1029.0,60.529411764705884,1,33365.5,1,0,Wines,0
Graduate,3668,275,59,107,69,101,59,4,0,0,44,Attached,1,3,1,20,670.0,33.5,1,25784.333333333332,1,0,Wines,0
Post-Grad,4048,789,0,142,12,9,38,8,0,0,49,Single,1,2,1,16,990.0,61.875,1,26307.0,1,0,Wines,0
Graduate,3511,1,1,5,0,3,1,8,0,0,50,Attached,2,4,1,4,11.0,2.75,0,6687.75,0,0,Meat,0
Post-Grad,4080,1004,12,145,32,12,36,5,0,1,61,Attached,1,3,1,21,1241.0,59.095238095238095,1,27100.0,1,1,Wines,1
Graduate,3651,187,81,149,25,43,91,1,0,0,45,Single,0,1,0,17,576.0,33.88235294117647,1,70337.0,1,0,Wines,0
Pre-Grad,3851,56,4,76,17,1,18,9,0,1,39,Attached,1,3,1,12,172.0,14.333333333333334,0,12048.333333333334,0,1,Meat,2
Post-Grad,3661,365,32,117,34,110,6,2,0,0,44,Single,0,1,0,20,664.0,33.2,1,65295.0,1,0,Wines,0
Graduate,3727,595,23,123,10,23,154,6,0,0,61,Single,1,2,1,23,928.0,40.34782608695652,1,34059.0,1,0,Wines,0
Graduate,4141,1132,134,384,175,134,115,7,0,0,57,Single,0,1,0,30,2074.0,69.13333333333334,1,68743.0,1,0,Wines,0
Pre-Grad,3812,34,11,137,179,61,45,8,0,0,42,Attached,0,2,0,15,467.0,31.133333333333333,0,20519.5,1,0,Fish,0
Graduate,3721,116,6,82,6,6,41,5,0,0,69,Attached,1,3,1,12,257.0,21.416666666666668,0,12982.0,0,0,Wines,0
Graduate,3665,565,32,435,28,32,54,1,0,0,57,Attached,0,2,0,17,1146.0,67.41176470588235,1,32888.5,1,0,Wines,0
Post-Grad,3952,372,18,126,47,48,78,4,0,0,48,Single,1,2,1,20,689.0,34.45,1,33238.0,1,0,Wines,0
Post-Grad,4128,899,102,838,133,102,40,2,0,1,52,Single,0,1,0,22,2114.0,96.0909090909091,1,86857.0,1,0,Wines,1
Post-Grad,4167,55,16,1622,17,3,4,0,0,0,42,Attached,0,2,0,44,1717.0,39.02272727272727,1,80401.5,1,0,Meat,0
Post-Grad,3517,760,40,480,0,40,26,1,0,0,35,Attached,0,2,0,21,1346.0,64.0952380952381,1,38922.5,1,1,Wines,1
Post-Grad,3745,260,86,559,63,9,67,2,0,0,55,Attached,0,2,0,15,1044.0,69.6,0,34738.0,1,0,Meat,0
Post-Grad,4106,459,0,24,6,0,4,6,0,1,64,Single,1,2,1,22,493.0,22.40909090909091,1,25305.5,1,1,Wines,2
Graduate,3781,466,0,224,119,49,99,2,0,0,54,Single,0,1,0,13,957.0,73.61538461538461,0,61209.0,1,0,Wines,0
Post-Grad,3825,67,15,80,17,11,80,3,0,0,66,Attached,1,3,1,12,270.0,22.5,0,14105.0,0,0,Meat,0
Pre-Grad,3712,2,0,7,3,7,10,6,0,0,72,Attached,0,2,0,5,29.0,5.8,0,6542.0,0,0,Gold,0
Post-Grad,3869,67,1,20,0,2,31,7,0,1,75,Single,2,3,1,9,121.0,13.444444444444445,0,15856.666666666666,0,0,Wines,1
Post-Grad,3811,92,4,18,3,3,6,3,0,0,63,Attached,2,4,1,8,126.0,15.75,0,15480.75,0,0,Wines,0
Graduate,3568,4,2,11,2,0,4,6,0,0,29,Single,0,1,0,4,23.0,5.75,0,34824.0,0,0,Meat,0
Post-Grad,3920,20,1,28,3,3,2,8,0,1,75,Single,2,3,1,8,57.0,7.125,0,8839.333333333334,0,0,Meat,1
Graduate,3711,273,11,178,62,83,29,6,0,0,63,Single,0,1,0,20,636.0,31.8,1,45938.0,1,0,Wines,0
Graduate,3554,434,22,388,104,22,34,4,0,0,64,Attached,0,2,0,28,1004.0,35.857142857142854,1,39234.0,1,1,Wines,0
Graduate,3758,321,11,309,33,26,34,4,0,0,51,Single,1,2,1,20,734.0,36.7,1,39450.5,1,0,Wines,0
Graduate,3582,212,123,177,15,64,23,4,0,0,46,Attached,2,4,1,20,614.0,30.7,1,17856.75,1,0,Wines,0
Graduate,3611,909,12,278,0,12,242,8,0,0,46,Single,1,2,1,21,1453.0,69.19047619047619,1,35511.0,1,1,Wines,1
Post-Grad,3534,1184,32,352,21,16,16,1,0,1,36,Single,0,1,0,15,1621.0,108.06666666666666,0,90247.0,1,1,Wines,3
Post-Grad,3658,112,19,21,16,14,5,7,0,0,56,Single,1,2,1,12,187.0,15.583333333333334,0,20667.5,0,0,Wines,0
Graduate,4008,656,80,455,52,107,93,4,0,0,38,Attached,1,3,1,22,1443.0,65.5909090909091,1,23984.0,1,1,Wines,2
Post-Grad,3475,23,0,8,6,2,18,2,0,0,54,Single,1,2,1,6,57.0,9.5,0,17841.0,0,0,Wines,0
Graduate,3918,537,6,42,16,6,30,8,0,0,73,Single,1,2,1,20,637.0,31.85,1,21592.5,1,0,Wines,0
Post-Grad,3693,712,0,45,0,0,191,7,0,0,76,Attached,1,3,1,14,948.0,67.71428571428571,0,22125.0,1,1,Wines,1
Post-Grad,4008,23,1,13,2,2,18,7,0,1,53,Attached,1,3,1,5,59.0,11.8,0,11726.0,0,1,Wines,2
Graduate,3825,1,3,4,2,2,6,8,0,0,38,Attached,1,3,1,4,18.0,4.5,0,8417.333333333334,0,0,Gold,0
Post-Grad,4089,664,58,83,32,0,66,5,0,0,59,Single,1,2,1,26,903.0,34.73076923076923,1,27625.0,1,0,Wines,0
Graduate,3967,6,10,21,19,14,42,6,0,0,49,Single,1,2,1,8,112.0,14.0,0,16624.5,0,0,Gold,0
Graduate,3884,299,5,201,21,21,49,4,0,0,71,Attached,0,2,0,20,596.0,29.8,1,29199.0,1,0,Wines,0
Graduate,3799,99,13,66,43,8,4,7,0,0,42,Attached,1,3,1,13,233.0,17.923076923076923,0,16757.333333333332,0,0,Wines,0
Post-Grad,4042,749,40,294,121,160,147,1,0,0,49,Attached,0,2,0,11,1511.0,137.36363636363637,0,38309.0,1,0,Wines,0
Pre-Grad,4117,345,25,501,63,138,80,2,0,1,64,Single,0,1,0,17,1152.0,67.76470588235294,1,87305.0,1,1,Meat,2
Graduate,3976,9,4,18,7,5,5,7,0,0,46,Attached,1,3,1,7,48.0,6.857142857142857,0,8617.0,0,0,Meat,0
Graduate,3928,440,81,368,0,122,174,6,0,0,54,Single,1,2,1,31,1185.0,38.225806451612904,1,29355.0,1,0,Wines,0
Graduate,3565,8,2,5,3,0,3,7,0,0,66,Single,2,3,1,4,21.0,5.25,0,15053.333333333334,0,0,Wines,0
Post-Grad,4030,670,9,249,0,28,9,4,0,0,59,Attached,1,3,1,16,965.0,60.3125,1,24935.333333333332,1,0,Wines,0
Graduate,3896,524,0,134,28,28,155,7,0,0,70,Attached,0,2,0,21,869.0,41.38095238095238,1,29555.5,1,0,Wines,0
Post-Grad,3510,6,0,6,2,1,1,7,0,0,40,Attached,1,3,1,6,16.0,2.6666666666666665,0,6329.333333333333,0,0,Wines,0
Graduate,3974,597,166,597,172,166,249,3,0,0,59,Attached,0,2,0,16,1947.0,121.6875,1,36095.0,1,0,Wines,0
Graduate,4170,7,0,12,13,7,32,9,0,1,48,Attached,1,3,1,12,71.0,5.916666666666667,0,2500.0,0,1,Gold,2
Graduate,3494,54,0,7,0,0,4,6,0,0,58,Attached,1,3,1,6,65.0,10.833333333333334,0,14931.333333333334,0,0,Wines,0
Graduate,3691,445,25,706,80,76,48,2,0,0,69,Attached,0,2,0,24,1380.0,57.5,1,40197.5,1,1,Meat,0
Post-Grad,3628,294,142,218,164,58,151,1,0,0,48,Single,0,1,0,23,1027.0,44.65217391304348,1,75012.0,1,0,Wines,0
